StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q5,Q4,Q3_1,Q3_2,Q3_3,Q3_4,Q6,Q7,Q1,Q1_7_TEXT,Q8,Q9,Q10,Q11,Q12,Q12_7_TEXT,Q13,Q14,Q15_1,Q15_2,Q15_3,Q17,Q18,Q18_3_TEXT,MTurkCode,condition_number,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How authentic did you find the posts about the product to be?,How likely are you to explore different products from the brand other than the one shown?,How certain do you feel that Age Rewind Health bars are a high quality product?,"On a scale from 1-7, rate how much do you agree with the below statements. (1 being strongly disagree and 7 being strongly agree) - I liked this social media campaign.","On a scale from 1-7, rate how much do you agree with the below statements. (1 being strongly disagree and 7 being strongly agree) - The social media campaign was informative.","On a scale from 1-7, rate how much do you agree with the below statements. (1 being strongly disagree and 7 being strongly agree) - I feel more familiar with the product after the campaign.","On a scale from 1-7, rate how much do you agree with the below statements. (1 being strongly disagree and 7 being strongly agree) - I feel more familiar with the creator(s) after the campaign.","When considering buying this product, how likely would you be to seek out additional information on the product?",Where would you go to seek out more information on the product? (Select all that apply.),What perceptions did you have about the product when scrolling through the images? (Select all that apply.) - Selected Choice,What perceptions did you have about the product when scrolling through the images? (Select all that apply.) - Other - Text,How familiar do you feel with the brand after the social media campaign?,How similar to the creator's experience would you expect your own experience with the product to be if you bought Age Rewind?,How likely are you to talk about this product with a friend?,"If you were given a $15 giftcard to spend on a pack of the below health bar options, which are you most likely to select for a snack?",What perceptions did you have about the content creator(s) when scrolling through the images? (Select all that apply.) - Selected Choice,What perceptions did you have about the content creator(s) when scrolling through the images? (Select all that apply.) - Other - Text,How likely are you to explore other videos posted by the content creator(s)?,How likely are you to share the content creators' post with a friend?,"On a scale from 1-7, rate how much do you agree with the below statements. (1 being strongly disagree and 7 being strongly agree) - I trust the content creator(s) in the social media campaign.","On a scale from 1-7, rate how much do you agree with the below statements. (1 being strongly disagree and 7 being strongly agree) - I have more trust in the product after the social media campaign.","On a scale from 1-7, rate how much do you agree with the below statements. (1 being strongly disagree and 7 being strongly agree) - The social media campaign made me more confident in the quality of the product.",What is your age? (Numerical value only),What is your gender? - Selected Choice,What is your gender? - Non-binary / other gender - Text,MTurkCode,condition_number,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_7_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_3_TEXT""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""condition_number""}","{""ImportId"":""condition""}"
2025-03-13 11:37:31,2025-03-13 11:38:18,1,,100,46,1,2025-03-13 11:38:18,R_7BhejzgAQAbGODd,,,,,42.3253,-71.0951,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13 14:00:21,2025-03-13 14:03:03,0,67.81.212.207,100,161,1,2025-03-13 14:03:04,R_1B5lit5R7fgubF7,,,,,40.6033,-74.633,anonymous,EN,7,7,1,5,5,5,5,7,"1,3,4","1,2,4",,5,7,7,1,1,,7,7,4,4,,22,2,,,,
2025-03-14 12:40:19,2025-03-14 12:44:15,0,80.214.73.214,100,235,1,2025-03-14 12:44:15,R_8tyaFRd5Jtx4YHD,,,,,48.8558,2.3494,anonymous,EN,5,1,3,2,3,3,2,7,1,6,,4,4,3,0,2,,4,1,3,2,2,21,2,,,,
2025-03-13 14:48:57,2025-03-13 14:49:47,0,107.127.42.17,55,49,0,2025-03-20 14:49:51,R_5CCaCbNUiqhrtSD,,,,,40.839,-73.946,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 14:00:58,2025-03-18 14:09:12,0,155.33.133.13,95,494,0,2025-03-25 14:09:18,R_5qJ9WFKZ0WFx0Jm,,,,,42.3253,-71.0951,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 13:59:04,2025-03-18 14:56:43,0,155.33.133.13,55,3459,0,2025-03-25 14:56:43,R_7FPuKDCDtqebucG,,,,,42.3253,-71.0951,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27 09:16:42,2025-03-27 09:17:21,1,,100,38,1,2025-03-27 09:17:21,R_3wcvEhAMqb1JQwG,,,,,42.3649,-71.0987,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27 09:17:30,2025-03-27 09:17:51,1,,100,20,1,2025-03-27 09:17:51,R_3PbN6SaWAvofvQc,,,,,42.3649,-71.0987,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03 15:25:43,2025-04-03 15:26:58,1,,100,75,1,2025-04-03 15:26:58,R_3M5bfBc97Nbo2qJ,,,,,42.3649,-71.0987,preview,EN,5,5,6,5,4,4,4,5,4,3,,4,4,4,0,3,,5,5,6,5,5,35,1,,,,
2025-04-03 15:32:11,2025-04-03 15:32:43,1,,100,32,1,2025-04-03 15:32:43,R_3NDOoXNTH1X8ino,,,,,42.3649,-71.0987,preview,EN,3,2,5,5,5,5,5,7,4,1,,3,6,5,0,5,,2,3,3,3,3,30,2,,25558648,,
2025-04-03 15:39:15,2025-04-03 15:39:39,1,,100,23,1,2025-04-03 15:39:40,R_3l3rzxgHfXXeIKP,,,,,42.3649,-71.0987,preview,EN,6,,,,,,,,,,,,,,,,,,,,,7,50,1,,19539841,1,single
2025-04-03 15:40:13,2025-04-03 15:40:35,1,,100,22,1,2025-04-03 15:40:36,R_31bzDDxxbwzyqMy,,,,,42.3649,-71.0987,preview,EN,,,,,,,,,,,,,,,,,,,,,,,70,,,63350706,0,multiple
2025-04-03 15:41:46,2025-04-03 15:42:18,1,,100,32,1,2025-04-03 15:42:19,R_3rNVt8ONqGYt8NC,,,,,42.3649,-71.0987,preview,EN,6,3,3,7,5,5,5,6,4,3,,2,5,5,0,5,,5,6,6,5,6,40,1,,36362235,1,single
2025-04-03 20:52:58,2025-04-03 20:54:26,1,,100,88,1,2025-04-03 20:54:27,R_3MM7giLT84CwX6B,,,,,42.3649,-71.0987,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,35103611,0,multiple
2025-04-03 20:55:26,2025-04-03 20:57:25,0,47.26.57.178,100,119,1,2025-04-03 20:57:26,R_3Ebjs65BHBEjFrL,,,,,44.3168,-84.7602,anonymous,EN,3,2,4,3,4,5,5,2,1,"4,6",,5,3,2,0,6,,1,1,3,3,3,29,3,Non binary,78166514,1,single
2025-04-03 20:56:37,2025-04-03 20:57:28,0,50.53.55.169,100,51,1,2025-04-03 20:57:29,R_3iIlBK8Ee0kH1PL,,,,,45.5152,-122.4167,anonymous,EN,6,6,5,6,6,6,6,5,"1,2,4","1,4",,6,6,6,1,2,,5,4,6,5,6,29,1,,36215001,0,multiple
2025-04-03 20:55:27,2025-04-03 20:57:56,0,73.174.205.169,100,149,1,2025-04-03 20:57:57,R_6rOusrC9NnRy4jr,,,,,39.5953,-79.9229,anonymous,EN,1,1,1,1,1,1,1,1,5,"6,7",low-effort template,1,1,1,0,6,,1,1,1,1,1,34,1,,19199215,0,multiple
2025-04-03 20:56:36,2025-04-03 20:58:25,0,108.35.36.197,100,109,1,2025-04-03 20:58:25,R_5mUYPU2P1NekUMh,,,,,40.9953,-73.9503,anonymous,EN,5,2,4,4,2,1,1,3,1,6,,3,1,1,0,6,,2,1,4,2,2,38,1,,19084947,0,multiple
2025-04-03 20:55:41,2025-04-03 20:58:30,0,12.55.235.134,100,169,1,2025-04-03 20:58:31,R_1L5QPxsutbIMOfO,,,,,41.2178,-88.5015,anonymous,EN,2,2,4,2,5,5,5,2,5,6,,5,4,2,1,6,,1,1,2,2,2,52,2,,71996829,0,multiple
2025-04-03 20:57:02,2025-04-03 20:58:41,0,172.59.190.160,100,99,1,2025-04-03 20:58:42,R_6EZJJPf93B0UDkZ,,,,,41.8835,-87.6305,anonymous,EN,1,2,2,1,2,2,1,2,5,"2,4,6",,1,6,2,0,6,,2,1,2,2,2,31,1,,40643380,0,multiple
2025-04-03 20:57:00,2025-04-03 20:59:32,0,24.210.58.98,100,151,1,2025-04-03 20:59:32,R_1DG7jWQrpR84IGR,,,,,40.0457,-83.0721,anonymous,EN,1,1,1,1,1,1,1,1,5,"6,7",don't care,1,1,1,0,7,ambivalent,1,1,1,1,1,35,2,,27887743,1,single
2025-04-03 20:57:40,2025-04-03 20:59:38,0,174.44.64.129,100,117,1,2025-04-03 20:59:38,R_31HEj29MBpVd91i,,,,,40.5978,-74.0001,anonymous,EN,2,1,2,1,2,2,2,6,"1,4","4,6",,2,4,1,0,6,,1,1,1,1,1,28,1,,83503154,1,single
2025-04-03 20:56:34,2025-04-03 20:59:45,0,73.37.94.45,100,191,1,2025-04-03 20:59:46,R_5I1iQMTYdNGBPSp,,,,,45.5221,-122.8585,anonymous,EN,1,1,1,1,1,2,1,1,5,"4,6",,2,1,1,0,6,,1,1,1,1,1,36,1,,93874641,0,multiple
2025-04-03 20:57:07,2025-04-03 21:00:40,0,174.51.230.114,100,212,1,2025-04-03 21:00:40,R_6gjY1GXfm3Shaqy,,,,,39.7747,-105.0968,anonymous,EN,1,1,2,1,1,1,1,1,5,"4,6",,1,1,1,0,6,,1,1,1,1,1,63,2,,70366826,1,single
2025-04-03 20:59:19,2025-04-03 21:00:58,0,96.37.124.100,100,99,1,2025-04-03 21:00:59,R_6hXvmRH7FZJZUMj,,,,,42.6331,-88.6437,anonymous,EN,2,2,2,2,2,2,2,2,5,6,,2,2,2,0,6,,2,2,2,2,2,35,1,,30103690,1,single
2025-04-03 20:59:13,2025-04-03 21:01:05,0,136.226.48.80,100,111,1,2025-04-03 21:01:05,R_6qbvPq3N9ZA6TXX,,,,,38.9609,-77.3429,anonymous,EN,5,4,5,6,5,4,5,4,4,"1,4",,4,4,5,0,3,,4,4,6,4,4,31,2,,16081006,0,multiple
2025-04-03 20:55:58,2025-04-03 21:01:13,0,76.82.254.218,100,314,1,2025-04-03 21:01:14,R_5KZ73cJgt0fTeZr,,,,,34.1483,-118.0016,anonymous,EN,5,3,5,4,3,3,2,5,4,3,,2,4,2,0,2,,2,2,4,3,4,61,2,,70909600,0,multiple
